Id,Name,Created at,Updated at,Client,Info page url,Tourist map,Id [Scenes],Name [Scenes],Created at [Scenes],Updated at [Scenes],Thumbnail [Scenes],Sort number [Scenes],Activity [Scenes],Game reset [Scenes],Visibility [Scenes],Actions [Scenes],Credentials [Scenes],Sc enabled [Scenes],Room name [Scenes],Game [Scenes]
32,光時代辦公室測試用366,2021年03月17日 19:00,2023年08月17日 10:15,1,https://tw.yahoo.com/,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbmMwIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9046a8485930626b5d7131c4a66254dfc7ea1d27/%E8%8C%82%E6%9E%97%E5%B0%8F%E5%9C%B0%E5%9C%96-02.png,"2625,2630,2634,2657,2659,2671,2647,2729,2748,2749,2393,2807,2834,2838,2850,1026,2912,2915,2897,2988,2998,3013,3044,3045,3046,3047,3048,3049,3050,2916,3068,3070,3403,3445","智慧城市展_showroom,打殭屍測試,燈籠解謎測試,oooo,player sdk test game,steven會議室Demo,智慧城市高雄展,demo場景,銘傳AR海底遊樂園1F,銘傳AR海底遊樂園4F,RC_Test_動畫特效,粽邪第五關解謎,大稻埕(niho)紅包雨-1個,大稻埕-貨櫃碼頭,niho-bug,08-中央廣場前段_藝廊,自定義動作串,秉薪蘭園,豬排,拼圖遊戲測試-B拼圖,場景：點擊物件顯示徽章,RC_星竹東,小童冒險家,青壯年探索者,資深回憶者,小公主夢想家,都市時尚達人,優雅藝術愛好者,Default-海底世界,物件：儀表板,RC_綠能竹東_萬聖節_01火車站,RC_綠能竹東_萬聖節_03鎮公所,聚樂邦雨神同行demo2.0,river 暫存場景","2023年03月17日 11:38,2023年03月24日 16:14,2023年03月25日 13:58,2023年04月11日 10:30,2023年04月12日 11:09,2023年04月17日 17:50,2023年03月29日 07:12,2023年05月10日 17:08,2023年05月24日 17:22,2023年05月25日 10:56,2022年11月30日 14:50,2023年06月29日 09:55,2023年07月24日 11:23,2023年07月25日 15:08,2023年08月01日 14:13,2021年04月13日 18:14,2023年09月05日 20:26,2023年09月06日 11:30,2023年08月29日 10:27,2023年09月22日 18:38,2023年09月25日 14:33,2023年09月27日 17:00,2023年10月12日 07:55,2023年10月12日 07:55,2023年10月12日 07:55,2023年10月12日 07:55,2023年10月12日 07:56,2023年10月12日 07:56,2023年10月12日 09:25,2023年09月06日 15:15,2023年10月18日 13:27,2023年10月18日 13:28,2024年02月01日 10:44,2024年03月12日 14:00","2023年04月19日 17:05,2023年03月24日 16:14,2023年03月27日 15:39,2023年04月11日 10:30,2023年04月12日 11:09,2023年04月17日 18:11,2024年04月22日 11:49,2023年05月10日 17:08,2023年05月25日 10:48,2023年05月25日 10:56,2022年11月30日 14:50,2023年07月12日 11:54,2023年07月24日 11:23,2024年03月19日 09:13,2023年08月01日 15:00,2022年08月17日 17:37,2023年09月05日 20:45,2023年10月20日 14:13,2023年09月26日 10:20,2023年09月22日 18:38,2023年09月26日 16:35,2023年10月28日 08:59,2023年10月12日 07:55,2023年11月30日 17:48,2023年10月12日 07:55,2023年10月12日 07:57,2023年11月30日 17:48,2023年10月12日 07:57,2023年10月12日 09:28,2023年10月13日 18:26,2023年10月20日 19:16,2023年12月14日 15:39,2024年02月01日 10:44,2024年03月12日 14:00"," - , - , - , - , - , - ,https://api.lig.com.tw/ar_asset/bsot9eg1qxe5e862a2l2dtdxdt67.jpg, - ,https://api.lig.com.tw/ar_asset/bevgdlk87pkon4tb23rg25papknp.jpg,https://api.lig.com.tw/ar_asset/bevgdlk87pkon4tb23rg25papknp.jpg, - , - , - ,https://assets.lig.com.tw/ar_asset/nor4ah40ksojojj5glgbc3c0nqd9.png, - ,https://api.lig.com.tw/upload/grid/6076c851e694aa02b12b3609.png	 , - , - , - , - , - ,https://assets.lig.com.tw/ar_asset/pbeslj79u8psnl5qmus84cepg6y4.jpg, - , - , - , - , - , - ,https://api.lig.com.tw/ar_asset/ftsp9q11qkfck0kwt591l2p2pphx.jpg, - , - , - , - , - ","0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"," - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ","false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"," - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,---
examples:
- id: 13
  values:
    group:
    delay_time: 0.0
    obj_id: 31502
    play_count:
    time: 10.0
    direction_x: 0.0
    direction_y: 360.0
    direction_z: 0.0
, - , - , - ,---
Excellent:
- id: 9
  values:
    group: 1
    delay_time: 0.0
    obj_id: 33938
    play_count:
- id: 9
  values:
    group: 1
    delay_time: 0.0
    obj_id: 33937
    play_count:
- id: 7
  values:
    group: 2
    delay_time: 0.0
    obj_id: 33936
    play_count:
- id: 15
  values:
    group: 3
    delay_time: 1.0
    obj_id: 33936
    time: 0.5
    scale: 1.2
- id: 15
  values:
    group: 4
    delay_time: 1.0
    obj_id: 33936
    time: 0.5
    scale: 0.83333
Perfect:
- id: 9
  values:
    group: 1
    delay_time: 0.0
    obj_id: 33938
    play_count:
- id: 9
  values:
    group: 1
    delay_time: 0.0
    obj_id: 33936
    play_count:
- id: 7
  values:
    group: 2
    delay_time: 0.0
    obj_id: 33937
    play_count:
- id: 15
  values:
    group: 3
    delay_time: 1.0
    obj_id: 33937
    time: 0.5
    scale: 1.2
- id: 15
  values:
    group: 4
    delay_time: 1.0
    obj_id: 33937
    time: 0.5
    scale: 0.83333
GoodJob:
- id: 9
  values:
    group: 1
    delay_time: 0.0
    obj_id: 33936
    play_count:
- id: 9
  values:
    group: 1
    delay_time: 0.0
    obj_id: 33937
    play_count:
- id: 7
  values:
    group: 2
    delay_time: 0.0
    obj_id: 33938
    play_count:
- id: 15
  values:
    group: 3
    delay_time: 1.0
    obj_id: 33938
    time: 0.5
    scale: 1.2
- id: 15
  values:
    group: 4
    delay_time: 1.0
    obj_id: 33938
    time: 0.5
    scale: 0.83333
, - , - , - , - , - , - , - , - , - , - , - , - , - "," - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,---
main:
  type: basic
  id: bingsin_admin
  pwd: 25d55ad283aa400af464c76d713c07ad
  url: https://www.nksdata.tw/arapi/api.asmx/userLogin
  additionals:
    token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9
, - , - , - , - ","false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false"," - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - "," - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - "
36,公版測試凱棋,2021年05月31日 09:39,2021年05月31日 09:39, - , - ,,95,凱棋場景之貓貓暴走,2021年01月27日 09:49,2021年02月24日 18:00, - ,0, - ,false,1, - , - ,false, - , - 
37,Holopark Scene,2021年08月14日 14:28,2021年08月16日 01:14, - , - ,,1189,HoloParkScene,2021年08月14日 14:04,2022年12月05日 16:29,https://api.lig.com.tw/ar_asset/yjzn6q8n1if1hw8bpmbaojtcdehw.png,0, - ,false,1, - , - ,false, - , - 
39,HoloPark室內區,2021年08月31日 19:27,2021年08月31日 19:27, - , - ,,1103,Holopark室內區,2021年06月01日 11:48,2022年08月17日 17:37, - ,0, - ,false,1, - , - ,false, - , - 
40,智慧燈桿-重慶路館前東路南側,2021年09月03日 12:43,2021年09月03日 12:43, - , - ,,1284,智慧燈桿-重慶路管前東路南側-181,2021年09月02日 20:47,2021年10月21日 07:55, - ,0, - ,false,1, - , - ,false, - , - 
41,智慧燈桿-重慶路館前東路北側,2021年09月03日 12:44,2021年09月03日 12:44, - , - ,,1285,智慧燈桿-重慶路管前東路北側-666,2021年09月02日 21:01,2021年10月21日 07:55, - ,0, - ,false,1, - , - ,false, - , - 
43,智慧燈桿-重慶路中山路一段北側,2021年09月03日 12:44,2021年09月03日 12:44, - , - ,,1286,智慧燈桿-重慶路中山路一段北側-322,2021年09月02日 21:07,2021年10月21日 07:55, - ,0, - ,false,1, - , - ,false, - , - 
44,智慧燈桿-重慶路中山路一段南側,2021年09月03日 12:44,2021年09月03日 12:44, - , - ,,1287,智慧燈桿-重慶路中山路一段南側-297,2021年09月02日 21:10,2021年10月21日 07:55, - ,0, - ,false,1, - , - ,false, - , - 
46,金獅樓街,2021年09月12日 06:34,2021年09月12日 06:34, - , - ,,"1569,1632","西門光宇宙@金獅樓(武昌▶昆明),西門聖誕節🎄@金獅樓街","2021年11月05日 17:57,2021年11月29日 14:15","2022年08月17日 17:37,2021年12月04日 19:49","https://api.lig.com.tw/ar_asset/neqokz1z8vg3k96d252kgi6bx7gg.png,https://api.lig.com.tw/ar_asset/xhgy8c2yrr4e2h1l7boqceae1xsl.jpg","1,1225"," - , - ","false,false","1,1"," - , - "," - , - ","false,false"," - , - "," - , - "
47,電影街_後半段,2021年09月12日 07:00,2021年09月12日 07:00, - , - ,,"1522,1566,1576","西門大嘻哈@電影街後段(武昌▶康定),	後街塔酷祭@電影街後段,西門光宇宙@電影街後段(武昌▶康定)","2021年10月11日 16:00,2021年10月30日 08:04,2021年11月10日 17:59","2021年10月31日 13:17,2021年11月11日 11:06,2022年08月17日 17:37","https://api.lig.com.tw/ar_asset/dj109aquzejpuqkcfkv5r7prs8si.jpg,https://api.lig.com.tw/ar_asset/cki9iw8ufpecsba4096yd1f4xbyl.png, - ","0,1,0"," - , - , - ","false,false,false","1,1,1"," - , - , - "," - , - , - ","false,false,false"," - , - , - "," - , - , - "
48,電影街_前半段,2021年09月12日 07:12,2021年09月12日 07:12, - , - ,,"1570,1610,1664"," 西門光宇宙@電影街前段(武昌▶康定),,西門聖誕節🎄@電影街,諸葛四郎_電影街前段","2021年11月09日 17:30,2021年11月26日 17:35,2021年12月20日 14:24","2022年08月17日 17:37,2021年12月04日 19:48,2022年08月17日 17:37","https://api.lig.com.tw/ar_asset/neqokz1z8vg3k96d252kgi6bx7gg.png,https://api.lig.com.tw/ar_asset/xhgy8c2yrr4e2h1l7boqceae1xsl.jpg,https://api.lig.com.tw/ar_asset/aq7558vhtyllg5m81coh220radz1.png","0,1225,1226"," - ,10, - ","false,false,false","1,1,1"," - , - , - "," - , - , - ","false,false,false"," - , - , - "," - , - , - "
50,內湖區康寧國小,2021年09月17日 07:35,2021年09月17日 07:35, - , - ,,1345,康寧國小校門口,2021年09月17日 00:32,2021年09月17日 12:16, - ,0, - ,false,1, - , - ,false, - , - 
51,西門國小,2021年09月17日 10:01,2021年09月17日 10:01, - , - ,,1508,新西門國小校門口,2021年09月30日 14:53,2022年06月06日 10:13, - ,0, - ,false,1, - , - ,false, - , - 
53,高雄亞灣新創園,2021年09月30日 17:31,2023年03月29日 12:09,1, - ,,1511,亞灣新創園,2021年09月30日 17:39,2024年03月26日 15:51,https://api.lig.com.tw/ar_asset/hls3lvues7xev5wn3oxohm69t4fj.png,0, - ,false,1, - , - ,false, - , - 
55,世界蘭展延伸推廣特展,2021年10月07日 10:04,2021年10月07日 10:04, - , - ,,,,,,,,,,,,,,,
56,demo-hy,2021年10月08日 06:59,2021年10月08日 06:59, - , - ,,1114,demo-hy,2021年06月13日 12:36,2021年10月08日 06:58, - ,0, - ,false,1, - , - ,false, - , - 
57,西門紅樓萬聖節,2021年10月11日 17:59,2021年10月11日 17:59, - , - ,,1528,西門町萬聖節@紅樓,2021年10月15日 10:27,2021年11月11日 11:07,https://api.lig.com.tw/ar_asset/9gg0xaawco1rla6cnxiewr9p99jv.png,10,1,false,1, - , - ,false, - , - 
59,Hank 辦公室 538,2021年10月15日 14:59,2023年04月18日 16:42,1, - ,,2741,粽邪第一關解謎,2023年05月18日 14:14,2023年08月01日 09:32, - ,0, - ,false,1, - , - ,false, - , - 
63,緯雄家,2021年10月29日 22:20,2021年10月29日 22:20, - , - ,,1843,超感空間安西府3D財虎迎虎年TEST,2022年01月14日 15:33,2022年03月02日 15:46, - ,0, - ,false,1, - , - ,false, - , - 
64,mike demo,2021年11月02日 13:23,2021年11月02日 13:23, - , - ,,"1511,1566,1534,1037,1030,2838,2884","亞灣新創園,	後街塔酷祭@電影街後段,西門町萬聖節@中央廣場後(漢中▶武昌),西門大嘻哈@電影街前段(武昌▶康定),西門大嘻哈@皇后街(6號出口),大稻埕-貨櫃碼頭,大稻埕-貨櫃碼頭_導覽員複製-plain","2021年09月30日 17:39,2021年10月30日 08:04,2021年10月20日 15:25,2021年09月23日 06:48,2021年08月11日 05:01,2023年07月25日 15:08,2023年08月18日 00:03","2024年03月26日 15:51,2021年11月11日 11:06,2021年11月01日 11:28,2021年10月31日 13:17,2022年04月29日 13:44,2024年03月19日 09:13,2023年08月18日 00:09","https://api.lig.com.tw/ar_asset/hls3lvues7xev5wn3oxohm69t4fj.png,https://api.lig.com.tw/ar_asset/cki9iw8ufpecsba4096yd1f4xbyl.png,https://api.lig.com.tw/ar_asset/9gg0xaawco1rla6cnxiewr9p99jv.png,https://api.lig.com.tw/ar_asset/dj109aquzejpuqkcfkv5r7prs8si.jpg,https://api.lig.com.tw/ar_asset/dj109aquzejpuqkcfkv5r7prs8si.jpg,https://assets.lig.com.tw/ar_asset/nor4ah40ksojojj5glgbc3c0nqd9.png, - ","0,1,9,5,5,0,0"," - , - ,1, - , - , - , - ","false,false,false,false,false,true,true","1,1,1,1,1,1,1"," - , - , - , - , - , - , - "," - , - , - , - , - , - , - ","false,false,false,false,false,false,false"," - , - , - , - , - , - , - "," - , - , - , - , - , - , - "
65,新西門圓環,2021年11月04日 10:24,2021年11月04日 10:24, - , - ,,,,,,,,,,,,,,,
70,實驗,2021年11月25日 00:12,2021年11月25日 00:12, - , - ,,,,,,,,,,,,,,,
73,hank辦公室 802,2021年11月28日 08:47,2021年12月10日 13:49, - , - ,,"1511,1583,1914,2157,2293","亞灣新創園,西門聖誕節🎄@皇后街,臺北市政府大廳AR導覽,永安海螺館,霹靂in光榮碼頭","2021年09月30日 17:39,2021年11月16日 05:06,2022年03月28日 17:35,2022年09月19日 15:18,2022年10月24日 09:47","2024年03月26日 15:51,2023年11月28日 09:38,2023年05月16日 09:44,2022年09月20日 15:05,2022年11月05日 11:38","https://api.lig.com.tw/ar_asset/hls3lvues7xev5wn3oxohm69t4fj.png,https://api.lig.com.tw/ar_asset/xhgy8c2yrr4e2h1l7boqceae1xsl.jpg,https://api.lig.com.tw/ar_asset/ftsp9q11qkfck0kwt591l2p2pphx.jpg, - , - ","0,1225,0,0,0"," - ,10, - , - , - ","false,false,false,false,false","1,1,1,1,1"," - , - , - , - , - "," - , - , - , - , - ","false,false,false,false,false"," - , - , - , - , - "," - , - , - , - , - "
74,新北歡樂耶誕城A1,2021年11月29日 15:46,2021年11月29日 15:46, - , - ,,1622,新北歡樂耶誕城-A1,2021年11月29日 11:56,2021年11月29日 11:56, - ,0, - ,false,1, - , - ,false, - , - 
75,新北市政府-3,2021年11月29日 15:47,2023年11月28日 17:24,1, - ,,3146,新北3_平溪&烏來,2023年11月10日 17:21,2024年01月23日 10:39, - ,0, - ,false,1, - , - ,false, - , - 
76,新北市政府-2,2021年11月29日 15:47,2023年11月28日 17:06,1, - ,,3151,新北2_石門&萬里,2023年11月13日 13:50,2024年01月23日 10:39, - ,0, - ,false,1, - , - ,false, - , - 
77,新北歡樂耶誕城A4,2021年11月29日 15:48,2023年11月17日 14:58,1, - ,,3144,新北1_瑞芳,2023年11月10日 14:02,2024年04月08日 11:57, - ,14, - ,false,1, - , - ,false, - , - 
78,新北市政府-6,2021年11月29日 15:48,2023年11月28日 16:46,1, - ,,3154,新北6_中和&新店,2023年11月13日 16:02,2023年11月13日 16:09, - ,0, - ,false,1, - , - ,false, - , - 
79,新北市政府-4,2021年11月29日 15:48,2023年11月28日 16:20,1, - ,,3152,新北4_淡水,2023年11月13日 14:18,2023年11月13日 14:18, - ,0, - ,false,1, - , - ,false, - , - 
80,新北歡樂耶誕城A7,2021年11月29日 15:49,2021年11月29日 15:49, - , - ,,1628,新北歡樂耶誕城-A7,2021年11月29日 12:00,2021年11月29日 12:00, - ,0, - ,false,1, - , - ,false, - , - 
81,新北歡樂耶誕城A8,2021年11月29日 15:49,2021年11月29日 15:49, - , - ,,1629,新北歡樂耶誕城-A8,2021年11月29日 12:01,2021年11月29日 12:01, - ,0, - ,false,1, - , - ,false, - , - 
82,板橋-府中-3,2021年11月29日 15:49,2023年11月28日 15:18,1, - ,,3189,新北0_板橋-3,2023年11月28日 13:50,2023年11月28日 13:51, - ,0, - ,false,1, - , - ,false, - , - 
83,板橋-府中-4,2021年11月29日 15:50,2023年11月28日 15:34,1, - ,,3190,新北0_板橋-4,2023年11月28日 13:52,2023年11月28日 13:52, - ,0, - ,false,1, - , - ,false, - , - 
