Id,Id [Coordinate system],Name [Coordinate system],Created at [Coordinate system],Updated at [Coordinate system],Client [Coordinate system],Info page url [Coordinate system],Tourist map [Coordinate system],Id [Scene],Name [Scene],Created at [Scene],Updated at [Scene],Thumbnail [Scene],Sort number [Scene],Activity [Scene],Game reset [Scene],Visibility [Scene],Actions [Scene],Credentials [Scene],Sc enabled [Scene],Room name [Scene],Game [Scene]
112,2,皇后街,2021年01月04日 17:09,2021年01月04日 17:09, - , - ,<空>,117,西門町智慧城市@皇后街(6號出口),2021年02月05日 09:58,2021年11月30日 13:17,https://api.lig.com.tw/ar_asset/neqokz1z8vg3k96d252kgi6bx7gg.png,4, - ,False,1, - , - ,False, - , - 
120,8,哈林街,2021年01月05日 15:08,2021年01月05日 15:08, - , - ,<空>,1036,西門大嘻哈@哈林街(漢中▶漢口),2021年08月11日 04:48,2021年10月31日 13:00,https://api.lig.com.tw/ar_asset/dj109aquzejpuqkcfkv5r7prs8si.jpg,5, - ,False,1, - , - ,False, - , - 
124,51,西門國小,2021年09月17日 10:01,2021年09月17日 10:01, - , - ,<空>,1508,新西門國小校門口,2021年09月30日 14:53,2022年06月06日 10:13, - ,0, - ,False,1, - , - ,False, - , - 
125,53,高雄亞灣新創園,2021年09月30日 17:31,2023年03月29日 12:09,1, - ,<空>,1511,亞灣新創園,2021年09月30日 17:39,2024年03月26日 15:51,https://api.lig.com.tw/ar_asset/hls3lvues7xev5wn3oxohm69t4fj.png,0, - ,False,1, - , - ,False, - , - 
129,56,demo-hy,2021年10月08日 06:59,2021年10月08日 06:59, - , - ,<空>,1114,demo-hy,2021年06月13日 12:36,2021年10月08日 06:58, - ,0, - ,False,1, - , - ,False, - , - 
132,47,電影街_後半段,2021年09月12日 07:00,2021年09月12日 07:00, - , - ,<空>,1522,西門大嘻哈@電影街後段(武昌▶康定),2021年10月11日 16:00,2021年10月31日 13:17,https://api.lig.com.tw/ar_asset/dj109aquzejpuqkcfkv5r7prs8si.jpg,0, - ,False,1, - , - ,False, - , - 
133,57,西門紅樓萬聖節,2021年10月11日 17:59,2021年10月11日 17:59, - , - ,<空>,1528,西門町萬聖節@紅樓,2021年10月15日 10:27,2021年11月11日 11:07,https://api.lig.com.tw/ar_asset/9gg0xaawco1rla6cnxiewr9p99jv.png,10,1,False,1, - , - ,False, - , - 
157,47,電影街_後半段,2021年09月12日 07:00,2021年09月12日 07:00, - , - ,<空>,1566,	後街塔酷祭@電影街後段,2021年10月30日 08:04,2021年11月11日 11:06,https://api.lig.com.tw/ar_asset/cki9iw8ufpecsba4096yd1f4xbyl.png,1, - ,False,1, - , - ,False, - , - 
159,64,mike demo,2021年11月02日 13:23,2021年11月02日 13:23, - , - ,<空>,1511,亞灣新創園,2021年09月30日 17:39,2024年03月26日 15:51,https://api.lig.com.tw/ar_asset/hls3lvues7xev5wn3oxohm69t4fj.png,0, - ,False,1, - , - ,False, - , - 
160,64,mike demo,2021年11月02日 13:23,2021年11月02日 13:23, - , - ,<空>,1566,	後街塔酷祭@電影街後段,2021年10月30日 08:04,2021年11月11日 11:06,https://api.lig.com.tw/ar_asset/cki9iw8ufpecsba4096yd1f4xbyl.png,1, - ,False,1, - , - ,False, - , - 
161,64,mike demo,2021年11月02日 13:23,2021年11月02日 13:23, - , - ,<空>,1534,西門町萬聖節@中央廣場後(漢中▶武昌),2021年10月20日 15:25,2021年11月01日 11:28,https://api.lig.com.tw/ar_asset/9gg0xaawco1rla6cnxiewr9p99jv.png,9,1,False,1, - , - ,False, - , - 
162,64,mike demo,2021年11月02日 13:23,2021年11月02日 13:23, - , - ,<空>,1037,西門大嘻哈@電影街前段(武昌▶康定),2021年09月23日 06:48,2021年10月31日 13:17,https://api.lig.com.tw/ar_asset/dj109aquzejpuqkcfkv5r7prs8si.jpg,5, - ,False,1, - , - ,False, - , - 
163,64,mike demo,2021年11月02日 13:23,2021年11月02日 13:23, - , - ,<空>,1030,西門大嘻哈@皇后街(6號出口),2021年08月11日 05:01,2022年04月29日 13:44,https://api.lig.com.tw/ar_asset/dj109aquzejpuqkcfkv5r7prs8si.jpg,5, - ,False,1, - , - ,False, - , - 
166,46,金獅樓街,2021年09月12日 06:34,2021年09月12日 06:34, - , - ,<空>,1569,西門光宇宙@金獅樓(武昌▶昆明),2021年11月05日 17:57,2022年08月17日 17:37,https://api.lig.com.tw/ar_asset/neqokz1z8vg3k96d252kgi6bx7gg.png,1, - ,False,1, - , - ,False, - , - 
167,48,電影街_前半段,2021年09月12日 07:12,2021年09月12日 07:12, - , - ,<空>,1570," 西門光宇宙@電影街前段(武昌▶康定),",2021年11月09日 17:30,2022年08月17日 17:37,https://api.lig.com.tw/ar_asset/neqokz1z8vg3k96d252kgi6bx7gg.png,0, - ,False,1, - , - ,False, - , - 
174,47,電影街_後半段,2021年09月12日 07:00,2021年09月12日 07:00, - , - ,<空>,1576,西門光宇宙@電影街後段(武昌▶康定),2021年11月10日 17:59,2022年08月17日 17:37, - ,0, - ,False,1, - , - ,False, - , - 
184,73,hank辦公室 802,2021年11月28日 08:47,2021年12月10日 13:49, - , - ,<空>,1511,亞灣新創園,2021年09月30日 17:39,2024年03月26日 15:51,https://api.lig.com.tw/ar_asset/hls3lvues7xev5wn3oxohm69t4fj.png,0, - ,False,1, - , - ,False, - , - 
185,73,hank辦公室 802,2021年11月28日 08:47,2021年12月10日 13:49, - , - ,<空>,1583,西門聖誕節🎄@皇后街,2021年11月16日 05:06,2023年11月28日 09:38,https://api.lig.com.tw/ar_asset/xhgy8c2yrr4e2h1l7boqceae1xsl.jpg,1225,10,False,1, - , - ,False, - , - 
188,4,東岸街,2021年01月04日 18:30,2021年11月30日 17:33, - , - ,<空>,1606,西門聖誕節🎄@東岸街,2021年11月26日 17:32,2023年11月28日 09:05,https://api.lig.com.tw/ar_asset/xhgy8c2yrr4e2h1l7boqceae1xsl.jpg,1225,10,False,1, - , - ,False, - , - 
189,3,西岸街,2021年01月04日 18:28,2021年01月04日 18:29, - , - ,<空>,1607,西門聖誕節🎄@西岸街,2021年11月26日 17:32,2023年11月28日 09:05,https://api.lig.com.tw/ar_asset/xhgy8c2yrr4e2h1l7boqceae1xsl.jpg,1225,10,False,1, - , - ,False, - , - 
190,6,傑克遜街,2021年01月05日 14:43,2021年01月05日 14:43, - , - ,<空>,1608,西門聖誕節🎄@傑克遜街,2021年11月26日 17:34,2021年12月04日 19:47,https://api.lig.com.tw/ar_asset/xhgy8c2yrr4e2h1l7boqceae1xsl.jpg,1225,10,False,1, - , - ,False, - , - 
191,7,百老匯街,2021年01月05日 14:46,2021年01月05日 14:46, - , - ,<空>,1609,西門聖誕節🎄@百老匯街,2021年11月26日 17:35,2021年12月04日 08:14,https://api.lig.com.tw/ar_asset/xhgy8c2yrr4e2h1l7boqceae1xsl.jpg,1225,10,False,1, - , - ,False, - , - 
192,46,金獅樓街,2021年09月12日 06:34,2021年09月12日 06:34, - , - ,<空>,1632,西門聖誕節🎄@金獅樓街,2021年11月29日 14:15,2021年12月04日 19:49,https://api.lig.com.tw/ar_asset/xhgy8c2yrr4e2h1l7boqceae1xsl.jpg,1225, - ,False,1, - , - ,False, - , - 
193,48,電影街_前半段,2021年09月12日 07:12,2021年09月12日 07:12, - , - ,<空>,1610,西門聖誕節🎄@電影街,2021年11月26日 17:35,2021年12月04日 19:48,https://api.lig.com.tw/ar_asset/xhgy8c2yrr4e2h1l7boqceae1xsl.jpg,1225,10,False,1, - , - ,False, - , - 
194,74,新北歡樂耶誕城A1,2021年11月29日 15:46,2021年11月29日 15:46, - , - ,<空>,1622,新北歡樂耶誕城-A1,2021年11月29日 11:56,2021年11月29日 11:56, - ,0, - ,False,1, - , - ,False, - , - 
200,80,新北歡樂耶誕城A7,2021年11月29日 15:49,2021年11月29日 15:49, - , - ,<空>,1628,新北歡樂耶誕城-A7,2021年11月29日 12:00,2021年11月29日 12:00, - ,0, - ,False,1, - , - ,False, - , - 
206,2,皇后街,2021年01月04日 17:09,2021年01月04日 17:09, - , - ,<空>,1583,西門聖誕節🎄@皇后街,2021年11月16日 05:06,2023年11月28日 09:38,https://api.lig.com.tw/ar_asset/xhgy8c2yrr4e2h1l7boqceae1xsl.jpg,1225,10,False,1, - , - ,False, - , - 
207,11,中央廣場_前半,2021年01月21日 15:15,2021年01月21日 15:15, - , - ,<空>,1637,西門聖誕節🎄@中央廣場前段,2021年11月30日 14:47,2023年11月28日 09:05,https://api.lig.com.tw/ar_asset/xhgy8c2yrr4e2h1l7boqceae1xsl.jpg,1225,10,False,1, - , - ,False, - , - 
208,5,中央廣場_後半,2021年01月04日 18:36,2021年01月21日 15:15, - , - ,<空>,1636,西門聖誕節🎄@中央廣場後段,2021年11月30日 14:47,2021年12月04日 19:48,https://api.lig.com.tw/ar_asset/xhgy8c2yrr4e2h1l7boqceae1xsl.jpg,1225,10,False,1, - , - ,False, - , - 
217,88,東三水街市場,2021年12月08日 10:54,2021年12月08日 10:54, - , - ,<空>,1646,東三水街市場,2021年12月07日 13:03,2021年12月08日 10:06, - ,0, - ,False,1, - , - ,False, - , - 
222,48,電影街_前半段,2021年09月12日 07:12,2021年09月12日 07:12, - , - ,<空>,1664,諸葛四郎_電影街前段,2021年12月20日 14:24,2022年08月17日 17:37,https://api.lig.com.tw/ar_asset/aq7558vhtyllg5m81coh220radz1.png,1226, - ,False,1, - , - ,False, - , - 
223,93,南湖圖書館,2022年02月11日 15:55,2022年02月11日 15:55, - , - ,<空>,1670,南湖圖書館,2021年12月22日 23:12,2021年12月22日 23:12, - ,0, - ,False,1, - , - ,False, - , - 
227,11,中央廣場_前半,2021年01月21日 15:15,2021年01月21日 15:15, - , - ,<空>,1665,諸葛四郎_uniqlo,2021年12月20日 17:32,2022年08月17日 17:37,https://api.lig.com.tw/ar_asset/aq7558vhtyllg5m81coh220radz1.png,1226, - ,False,1, - , - ,False, - , - 
228,94,光點藝術中心,2022年02月11日 15:56,2022年02月11日 15:56, - , - ,<空>,1724,光點藝術中心,2021年12月28日 14:32,2022年08月17日 17:37, - ,0, - ,False,1, - , - ,False, - , - 
230,95,南湖6樓,2022年02月11日 15:56,2022年02月11日 15:56, - , - ,<空>,1715,古亭,2021年12月28日 12:31,2022年04月08日 13:28, - ,0, - ,False,1, - , - ,False, - , - 
231,96,南湖門口A,2022年02月11日 15:56,2022年02月11日 15:56, - , - ,<空>,1714,南湖高中智慧圖書館階梯教室,2021年12月28日 12:31,2022年01月12日 18:09, - ,0, - ,False,1, - , - ,False, - , - 
244,63,緯雄家,2021年10月29日 22:20,2021年10月29日 22:20, - , - ,<空>,1843,超感空間安西府3D財虎迎虎年TEST,2022年01月14日 15:33,2022年03月02日 15:46, - ,0, - ,False,1, - , - ,False, - , - 
264,106,皇穹陵花園,2022年02月22日 17:19,2022年02月22日 17:19,1, - ,<空>,1862,海底世界-複製確認,2022年02月21日 16:07,2024年03月06日 11:25,https://api.lig.com.tw/ar_asset/ftsp9q11qkfck0kwt591l2p2pphx.jpg,3,24,False,1, - , - ,False, - , - 
265,107,皇穹陵咖啡廳,2022年02月22日 17:20,2022年02月22日 17:20,1, - ,<空>,1863,南投皇穹陵-咖啡廳,2022年02月21日 17:19,2022年03月09日 15:41, - ,0, - ,False,1, - , - ,False, - , - 
269,108,皇穹陵小老虎,2022年02月23日 12:37,2022年02月23日 12:37,1, - ,<空>,1867,南投皇穹陵-小老虎,2022年02月23日 12:05,2022年02月23日 12:05, - ,0, - ,False,1, - , - ,False, - , - 
277,2,皇后街,2021年01月04日 17:09,2021年01月04日 17:09, - , - ,<空>,1883,智慧城市demo,2022年03月14日 22:59,2022年08月15日 18:10,https://api.lig.com.tw/ar_asset/iexqypbudsn8p61xzxlh3yrmatrz.png,222, - ,False,1, - , - ,False, - , - 
285,115,集點測試,2022年03月30日 14:08,2022年03月30日 14:08,1, - ,<空>,1557,集點測試,2021年10月28日 18:01,2022年03月30日 17:46, - ,0, - ,False,1, - , - ,False, - , - 
291,118,擁恆-豬哥亮,2022年04月17日 12:58,2022年04月17日 12:58,1, - ,<空>,1934,擁恆_豬哥亮,2022年04月12日 13:09,2024年04月08日 11:55,https://api.lig.com.tw/ar_asset/9x4ep2rv0hgf9nu5pdhoow3oecvq.png,4, - ,False,1, - , - ,False, - , - 
292,119,臺北市政府停車場出口,2022年04月18日 14:26,2022年04月18日 14:26,1, - ,<空>,1936,台北市市政府-大門,2022年04月13日 16:23,2022年12月02日 10:36, - ,0, - ,False,1, - , - ,False, - , - 
293,73,hank辦公室 802,2021年11月28日 08:47,2021年12月10日 13:49, - , - ,<空>,1914,臺北市政府大廳AR導覽,2022年03月28日 17:35,2023年05月16日 09:44,https://api.lig.com.tw/ar_asset/ftsp9q11qkfck0kwt591l2p2pphx.jpg,0, - ,False,1, - , - ,False, - , - 
294,120,臺北市政府西大門,2022年04月21日 13:25,2022年04月21日 13:25,1, - ,<空>,1945,台北市政府-正門口,2022年04月20日 09:54,2023年01月09日 16:22, - ,0, - ,False,2, - , - ,False, - , - 
295,121,比特宇宙,2022年04月28日 17:26,2022年04月28日 17:26,1, - ,<空>,1948,比特宇宙,2022年04月28日 10:45,2022年04月28日 11:09, - ,0, - ,False,1, - , - ,False, - , - 
297,122,竹東,2022年05月04日 16:33,2022年05月04日 16:33,1, - ,<空>,1957,臺北市政府大廳AR導覽_竹東,2022年05月05日 14:53,2022年08月15日 18:10,https://api.lig.com.tw/ar_asset/ftsp9q11qkfck0kwt591l2p2pphx.jpg,0, - ,False,1, - , - ,False, - , - 
299,124,擁恆-豬哥亮墓園,2022年05月10日 10:59,2022年05月10日 10:59,1, - ,<空>,1937,擁恆_豬哥亮_墓園,2022年04月17日 10:58,2023年04月13日 09:57,https://api.lig.com.tw/ar_asset/9x4ep2rv0hgf9nu5pdhoow3oecvq.png,0, - ,False,1, - , - ,False, - , - 
300,81,新北歡樂耶誕城A8,2021年11月29日 15:49,2021年11月29日 15:49, - , - ,<空>,1629,新北歡樂耶誕城-A8,2021年11月29日 12:01,2021年11月29日 12:01, - ,0, - ,False,1, - , - ,False, - , - 
319,136,運營測試區,2022年07月06日 12:11,2022年07月06日 12:11,1, - ,<空>,2028,永安海螺文化體驗園區,2022年07月07日 01:35,2022年07月07日 01:35, - ,0, - ,False,1, - , - ,False, - , - 
331,139,Hank選戰Demo,2022年07月15日 19:18,2022年07月15日 19:18,1, - ,<空>,2033,選戰demo場景-plain,2022年07月15日 18:30,2022年07月15日 20:30, - ,0, - ,False,1, - , - ,False, - , - 
333,140,LivingCS1,2022年07月20日 18:16,2022年07月20日 18:16,16, - ,<空>,2039,LivingScene1,2022年07月20日 18:09,2022年07月20日 18:09, - ,0, - ,False,1, - , - ,False, - , - 
335,105,皇穹陵-星光大道,2022年02月21日 14:43,2024年03月06日 17:24,1, - ,<空>,2042,星光大道,2022年07月22日 09:50,2024年03月05日 13:09, - ,1,23,False,1, - , - ,False, - , - 
344,116,臺北市政府大廳,2022年03月31日 14:24,2022年06月30日 15:01,1, - ,<空>,2009,元宇宙 in 市政府,2022年06月24日 11:15,2022年12月27日 09:01,https://api.lig.com.tw/ar_asset/hocptv7t06r504pbio4iftykfz25.jpg,0, - ,False,2, - , - ,False, - , - 
345,127,光時代會議室179,2022年06月16日 10:09,2022年06月16日 10:09,1, - ,<空>,1871,SDK Test 測試場景,2022年03月06日 17:10,2023年04月10日 17:04, - ,0, - ,False,1, - , - ,False, - , - 
348,146,南港教育展,2022年08月18日 16:38,2022年08月18日 16:38,1, - ,<空>,2088,南港教育展,2022年08月18日 14:45,2022年08月18日 14:45, - ,0, - ,False,1, - , - ,False, - , - 
349,147,MEET大南方,2022年08月25日 22:03,2022年08月25日 22:03,1, - ,<空>,2093,天文館,2022年08月23日 15:00,2022年11月21日 14:55,https://api.lig.com.tw/ar_asset/9lequz3r3fbl6j2dbnieefozrnnh.jpg,0, - ,False,1, - , - ,False, - , - 
350,148,奇觀辦公室,2022年08月31日 13:56,2022年08月31日 13:56,1, - ,<空>,1936,台北市市政府-大門,2022年04月13日 16:23,2022年12月02日 10:36, - ,0, - ,False,1, - , - ,False, - , - 
369,154,專題展覽,2022年09月16日 08:34,2022年09月16日 08:34,1, - ,<空>,2146,專題展覽,2022年09月16日 08:32,2022年09月16日 08:33, - ,0, - ,False,1, - , - ,False, - , - 
378,159,永安海螺文化體驗園區,2022年09月21日 13:01,2022年09月21日 13:01,1, - ,<空>,2157,永安海螺館,2022年09月19日 15:18,2022年09月20日 15:05, - ,0, - ,False,1, - , - ,False, - , - 
379,158,台北市政府聯合服務中心,2022年09月19日 11:32,2022年09月19日 11:32,1, - ,<空>,2148,聯合服務中心,2022年09月16日 15:07,2023年05月17日 17:31, - ,0, - ,False,2, - , - ,False, - , - 
382,160,未來城市-藝廊,2022年09月22日 13:48,2022年09月22日 13:48,1, - ,<空>,2163,未來城市-藝廊,2022年09月22日 11:34,2022年09月28日 16:21, - ,0, - ,False,1, - , - ,False, - , - 
383,161,未來城市-海洋世界,2022年09月22日 13:48,2022年09月22日 13:48,1, - ,<空>,2164,未來城市-海洋世界,2022年09月22日 11:35,2022年09月29日 12:43, - ,0, - ,False,1, - , - ,False, - , - 
447,144,光時代AR體驗,2022年07月29日 14:50,2022年07月29日 14:50,1, - ,<空>,2009,元宇宙 in 市政府,2022年06月24日 11:15,2022年12月27日 09:01,https://api.lig.com.tw/ar_asset/hocptv7t06r504pbio4iftykfz25.jpg,0, - ,False,2, - , - ,False, - , - 
462,183,蝦米測試81,2022年10月17日 15:26,2022年10月20日 10:53,1, - ,<空>,1866,AR物件場景測試綁定光標籤81,2022年02月23日 11:04,2022年10月25日 10:43, - ,0, - ,False,1, - , - ,False, - , - 
481,73,hank辦公室 802,2021年11月28日 08:47,2021年12月10日 13:49, - , - ,<空>,2157,永安海螺館,2022年09月19日 15:18,2022年09月20日 15:05, - ,0, - ,False,1, - , - ,False, - , - 
483,153,霹靂,2022年09月15日 20:48,2022年09月15日 20:48,1, - ,<空>,2293,霹靂in光榮碼頭,2022年10月24日 09:47,2022年11月05日 11:38, - ,0, - ,False,1, - , - ,False, - , - 
488,73,hank辦公室 802,2021年11月28日 08:47,2021年12月10日 13:49, - , - ,<空>,2293,霹靂in光榮碼頭,2022年10月24日 09:47,2022年11月05日 11:38, - ,0, - ,False,1, - , - ,False, - , - 
518,89,天文館,2022年02月11日 15:55,2022年02月11日 15:55, - , - ,<空>,2093,天文館,2022年08月23日 15:00,2022年11月21日 14:55,https://api.lig.com.tw/ar_asset/9lequz3r3fbl6j2dbnieefozrnnh.jpg,0, - ,False,1, - , - ,False, - , - 
527,191,中華電信5G加速器,2022年11月16日 12:48,2022年11月16日 12:48,1, - ,<空>,2359,中華電信5G加速器,2022年11月16日 06:35,2022年11月17日 12:04,https://api.lig.com.tw/ar_asset/qqk50e5adpgwtgs255has8vu48g3.png,0, - ,False,1, - , - ,False, - , - 
528,192,Meet Taipei - 光時代,2022年11月16日 13:24,2022年11月16日 13:24,1, - ,<空>,2295,meet taipei 爭豔館,2022年10月27日 09:43,2022年11月17日 12:06,https://api.lig.com.tw/ar_asset/oathr1lqe6etbyty67x5xecb6231.jpeg,0, - ,False,1, - , - ,False, - , - 
529,192,Meet Taipei - 光時代,2022年11月16日 13:24,2022年11月16日 13:24,1, - ,<空>,2341,羅馬競技場-冠軍之路,2022年11月08日 13:38,2022年11月18日 10:48,https://api.lig.com.tw/ar_asset/eh9h77u5kqthh3fqbhfqhtu0ma4d.jpg,0, - ,False,1, - , - ,False, - , - 
530,191,中華電信5G加速器,2022年11月16日 12:48,2022年11月16日 12:48,1, - ,<空>,2341,羅馬競技場-冠軍之路,2022年11月08日 13:38,2022年11月18日 10:48,https://api.lig.com.tw/ar_asset/eh9h77u5kqthh3fqbhfqhtu0ma4d.jpg,0, - ,False,1, - , - ,False, - , - 
531,192,Meet Taipei - 光時代,2022年11月16日 13:24,2022年11月16日 13:24,1, - ,<空>,1511,亞灣新創園,2021年09月30日 17:39,2024年03月26日 15:51,https://api.lig.com.tw/ar_asset/hls3lvues7xev5wn3oxohm69t4fj.png,0, - ,False,1, - , - ,False, - , - 
534,144,光時代AR體驗,2022年07月29日 14:50,2022年07月29日 14:50,1, - ,<空>,2364,台北市立動物園,2022年11月16日 18:25,2022年12月07日 11:41,https://api.lig.com.tw/ar_asset/7mz6xz1q48daicjn0ijkrdag6tnx.jpg,0, - ,False,1, - , - ,False, - , - 
535,89,天文館,2022年02月11日 15:55,2022年02月11日 15:55, - , - ,<空>,2009,元宇宙 in 市政府,2022年06月24日 11:15,2022年12月27日 09:01,https://api.lig.com.tw/ar_asset/hocptv7t06r504pbio4iftykfz25.jpg,0, - ,False,2, - , - ,False, - , - 
536,181,誠品聖誕節,2022年10月11日 14:36,2022年11月21日 14:35,1, - ,<空>,2016,RC_誠品站前店_聖誕節🎄,2022年07月01日 10:30,2022年11月21日 15:33,https://api.lig.com.tw/ar_asset/xhgy8c2yrr4e2h1l7boqceae1xsl.jpg,1, - ,False,1, - , - ,False, - , - 
540,193,(Eliot) Coordinate System 1 (web),2022年11月23日 11:25,2022年11月23日 11:25,1, - ,<空>,2377,(Eliot) Test Scene 1 (ios),2022年11月23日 11:21,2022年11月23日 11:40, - ,0, - ,False,1, - , - ,False, - , - 
541,194,高雄市政府經發局,2022年11月23日 11:30,2022年11月23日 11:30,1, - ,<空>,2374,高雄市經發局,2022年11月23日 09:05,2023年12月29日 09:32,https://api.lig.com.tw/ar_asset/2nc7k3w6b96d44ml6kykoz6rszw0.jpeg,0, - ,False,1, - , - ,False, - , - 
543,195,(Eliot) Coordinate System 2 (web),2022年11月23日 11:44,2022年11月23日 11:44,1, - ,<空>,2379,(Eliot) Test Scene 2 (web),2022年11月23日 11:43,2022年11月23日 13:37, - ,0, - ,False,1, - , - ,False, - , - 
549,196,雲端AI新視界,2022年11月24日 08:54,2022年11月24日 08:54,1, - ,<空>,2388,雲端AI新視界,2022年11月28日 11:34,2022年11月30日 13:39, - ,0, - ,False,1, - , - ,False, - , - 
553,196,雲端AI新視界,2022年11月24日 08:54,2022年11月24日 08:54,1, - ,<空>,1511,亞灣新創園,2021年09月30日 17:39,2024年03月26日 15:51,https://api.lig.com.tw/ar_asset/hls3lvues7xev5wn3oxohm69t4fj.png,0, - ,False,1, - , - ,False, - , - 
554,196,雲端AI新視界,2022年11月24日 08:54,2022年11月24日 08:54,1, - ,<空>,2009,元宇宙 in 市政府,2022年06月24日 11:15,2022年12月27日 09:01,https://api.lig.com.tw/ar_asset/hocptv7t06r504pbio4iftykfz25.jpg,0, - ,False,2, - , - ,False, - , - 
